0,0.0013178
104.14,0.043274
208.29,0.021408
312.43,0.014151
416.58,0.010657
520.72,0.0089398
624.87,0.0073996
729.01,0.0068492
833.16,0.005247
937.3,0.0062427
1041.4,0.0042504
1145.6,0.0063218
1249.7,0.0047578
1353.9,0.0059318
1458,0.0046693
1562.2,0.0044203
1666.3,0.0040488
1770.5,0.0047188
1874.6,0.0046921
1978.8,0.005188
2082.9,0.0040021
2187,0.005342
2291.2,0.0043612
2395.3,0.003209
2499.5,0.0038464
2603.6,0.0043848
2707.8,0.0035965
2811.9,0.0040549
2916.1,0.004159
3020.2,0.0046986
3124.3,0.004169
3228.5,0.0045732
3332.6,0.0041308
3436.8,0.0040806
3540.9,0.0040011
3645.1,0.0043342
3749.2,0.0048435
3853.4,0.0038299
3957.5,0.0041575
4061.7,0.0042527
4165.8,0.0045478
4269.9,0.0043142
4374.1,0.0039343
4478.2,0.0043413
4582.4,0.0042924
4686.5,0.0038319
4790.7,0.0038665
4894.8,0.0046741
4999,0.0042278
5103.1,0.0041196
5207.2,0.0040471
5311.4,0.0030944
5415.5,0.0039503
5519.7,0.0048626
5623.8,0.0047308
5728,0.0039133
5832.1,0.0039752
5936.3,0.0046414
6040.4,0.0045707
6144.6,0.0043105
6248.7,0.0043321
6352.8,0.0034387
6457,0.0046485
6561.1,0.0039875
6665.3,0.0048406
6769.4,0.0042865
6873.6,0.0038942
6977.7,0.0040806
7081.9,0.0037929
7186,0.0039873
7290.1,0.0044177
7394.3,0.0048136
7498.4,0.0046057
7602.6,0.0050088
7706.7,0.0037683
7810.9,0.0037368
7915,0.0045963
8019.2,0.003903
8123.3,0.0034292
8227.5,0.0041949
8331.6,0.0024777
8435.7,0.0043908
8539.9,0.0039896
8644,0.0039071
8748.2,0.0041298
8852.3,0.0044408
8956.5,0.0042244
9060.6,0.0037036
9164.8,0.0046107
9268.9,0.0041752
9373,0.0041122
9477.2,0.0040095
9581.3,0.0036664
9685.5,0.0041572
9789.6,0.0038321
9893.8,0.0034328
9997.9,0.0034171
10102,0.0040931
10206,0.0048483
10310,0.0040026
10414,0.0036317
10519,0.0038997
10623,0.0041542
10727,0.0041749
10831,0.0037776
10935,0.0049369
11039,0.0046726
11144,0.0031625
11248,0.0037416
11352,0.0035438
11456,0.0046495
11560,0.0042624
11664,0.0039536
11768,0.0032627
11873,0.0038744
11977,0.0045017
12081,0.0046548
12185,0.0048122
12289,0.0046277
12393,0.0041994
12497,0.0044007
12602,0.0045628
12706,0.0046165
12810,0.0051772
12914,0.0041312
13018,0.0041681
13122,0.0046935
13226,0.0049574
13331,0.0050452
13435,0.0048848
13539,0.00456
13643,0.0048234
13747,0.0052575
13851,0.0047457
13955,0.0036504
14060,0.0050338
14164,0.0049668
14268,0.0040523
14372,0.0046872
14476,0.0049275
14580,0.0051094
14684,0.0049675
14789,0.005406
14893,0.0047806
14997,0.0041993
15101,0.006732
15205,0.0052454
15309,0.0051898
15413,0.0041141
15518,0.0053324
15622,0.0056566
15726,0.0050148
15830,0.0059359
15934,0.0060402
16038,0.005318
16142,0.0053981
16247,0.0055886
16351,0.0057087
16455,0.0058818
16559,0.0057604
16663,0.0068987
16767,0.0059228
16871,0.0070492
16976,0.0065753
17080,0.0054621
17184,0.0051626
17288,0.0060746
17392,0.0058586
17496,0.0069366
17600,0.0065872
17705,0.0073517
17809,0.0064574
17913,0.0070194
18017,0.0074955
18121,0.0081409
18225,0.0088525
18330,0.0094242
18434,0.0091191
18538,0.0098082
18642,0.010238
18746,0.0097119
18850,0.010564
18954,0.012244
19059,0.013768
19163,0.016019
19267,0.016563
19371,0.018366
19475,0.021326
19579,0.023136
19683,0.031831
19788,0.046975
19892,0.092658
19996,0.53676
20100,0.10291
20204,0.045857
20308,0.030731
20412,0.02199
20517,0.016479
20621,0.015067
20725,0.010974
20829,0.010194
20933,0.0066652
21037,0.0069859
21141,0.0062032
21246,0.0062335
21350,0.0049541
21454,0.0041861
21558,0.0044563
21662,0.0037377
21766,0.0039147
21870,0.002298
21975,0.0030569
22079,0.0033772
22183,0.0031659
22287,0.002575
22391,0.0019425
22495,0.0025246
22599,0.0017856
22704,0.0016426
22808,0.0022158
22912,0.0025401
23016,0.00057737
23120,0.00077191
23224,0.0016276
23328,0.0001083
23433,0.00091596
23537,0.0012964
23641,0.0012845
23745,0.0012914
23849,0.00080572
23953,0.0015487
24057,0.0009231
24162,0.0010966
24266,0.00078269
24370,0.0010627
24474,0.00064635
24578,0.0013991
24682,0.0010489
24787,0.00076645
24891,0.0012827
24995,0.00060551
